Tweet ID,Tweet Text,Label
544520042810200064,"#sydneysiege is over . 2 confirmed dead , #prayforsydney #prayforsydneyhostages #sydney #hostages <end>",rumor
674364257799004160,adolf hitler vs donald trump URL <end>,rumor
767754921403899906,"of the 54 killed by young suicide bomber at wedding in turkey , 22 were under the age of 14 . URL URL <end>",non-rumor
692023855926374400,"shooting reported at naval medical center san diego , according to the center's facebook page . URL <end>",non-rumor
774833492865593344,"nurses save lives of all different races and colors , but @hillaryclinton thinks we belong in a #basketofdeplorables . URL <end>",rumor
692826642583019521,email : michigan officials gave bottled water to state employees a year before flint residents got it URL <end>,non-rumor
693826104633737217,"watch bernie sanders sing "" this land is your land "" with vampire weekend at iowa students rally URL <end>",non-rumor
763524712853102596,hillary clinton strategist bob beckel called for wikileaks editor julian assange to be assassinated . #dncleaks URL <end>,rumor
615494435074363392,"if they can light up the white house like a rainbow for gay pride , it sure as hell better be red , white & blue for independence day . merica . <end>",rumor
692884886374318081,it's gregg popovich's 67th birthday and there's one thing we know he's not doing tonight . URL <end>,non-rumor
544374511194632192,update : total of 5 people have been able to get out of sydney cafe during hostage situation : URL URL <end>,rumor
672169954016403456,"pres . obama on #sanbernardino : "" we have a pattern now of mass shootings in this country that has no parallel . "" URL <end>",rumor
723915846985342976,niagara falls turned purple on the day prince died : URL URL <end>,rumor
622891631293935616,#wakeupamerica 🇺 🇸 who needs a #gun registry when #obama has all your personal information URL URL <end>,rumor
691995324752252930," the dave i know is polite , modest , and content . jumbotron dave is crass and loud .  URL URL <end>",non-rumor
693546915892428800,jeb bush campaign kicks off 3 - state farewell tour with iowa town hall meeting URL URL <end>,non-rumor
759460236042305536,"1991 , book written saying trump says "" laziness is a trait in all blacks "" URL URL <end>",rumor
693041285087756288,saliha is one of the first women ever to stand for election in saudi arabia : watch her story URL URL <end>,non-rumor
692796451987034113,renting vs . owning a home : a side-by-side comparison URL URL <end>,non-rumor
711994705333112832,keith richards ' once pulled a knife on donald trump ' says rolling stones ' ex-event promoter URL URL <end>,rumor
544358564484378624,police : negotiators are now in contact with armed hostage-taker in sydney situation ; motive remains unknown - URL <end>,rumor
675005503160901632,"after mass shootings , obama seeks to expand background checks for gun sales by executive order to bypass congress URL <end>",rumor
650046859537448960,an openly gay man said that he and his partner met with pope francis a day before kim davis did URL <end>,rumor
613016993692798977,police chief says dylann roof was taken to burger king shortly after arrest URL <end>,rumor
623533663947517952,gay marriage ruling ? white house in rainbow colors within hours . 4 murdered marines & a murdered sailor ? 5 days to lower the flag . nice . <end>,rumor
657007736467525632,"steve jobs was adopted . his biological father was abdulfattah jandali , a syrian muslim . <end>",rumor
693691456222052352,"red alert ! drake just dropped a new single called , "" summer sixteen "" from his new album . URL URL <end>",non-rumor
525025463648137216,breaking : a source confirms to cp24 that the deceased soldier in ottawa is cpl . nathan cirillo . cirillo was a member of the hamilton argylls <end>,rumor
612741808125120513,this dad loved his family so much he got eye enlargement surgery so he could look at them more URL URL <end>,rumor
544271284796784640,"developing : gunman takes hostages in sydney cafe , ' isis ' flags being held against window - URL URL <end>",rumor
723477822950395904,purple pain : landmarks across globe light up in fitting prince tributes #ripprince URL URL <end>,rumor
715253497462145024,"just in : donald trump to @msnbc : "" there has to be some form of punishment "" for women who have an abortion . <end>",rumor
714577521992343552,a trump campaign strategist just quit and wrote this amazing open letter about why : URL <end>,rumor
544367462012432384,"more : police confirm 3 hostages escape sydney cafe , unknown number remain inside URL #sydneysiege <end>",rumor
748558349139058688,obama cuts military pay 4third year in a row #isis 2nd terrorist attack in a week #wakeupamerica r u ok w this ? #2a URL <end>,rumor
672424512516964352,". @johnrlottjr : "" the number of ppl killed by mass shootings during obama ’ s tenure is 424 casualties … paris this year alone has 508 casualties . "" <end>",rumor
655986243042459648,"steve jobs was adopted . his biological father was abdulfattah jandali , a syrian muslim . <end>",rumor
524969201102901248,mps credit sergeant-at-arms for saving lives in parliament hill shootings URL URL <end>,rumor
693939356390653952,"michael oher got a text from cam newton during the offseason . now , they prepare for #sb50 : URL URL <end>",non-rumor
692911086920667136,"in asu's curtain of distraction , michael phelps brought out his gold medals and speedo to do the trick . it worked . URL <end>",non-rumor
730516765525082112,a canadian teen didn't find a lost mayan city : URL URL <end>,rumor
715671763808493569,☆ ☆ craigslist ad allegedly posted by bernie supporters offered $ 15 to protest at trump's rally in wisconsin . trump already creating jobs ! <end>,rumor
623599854661541888,obama ; - hours to light up white house in rainbow colors for gay marriage . - 5 days to lower flag for dead marines . URL <end>,rumor
726442550266044416,"because target believes men can pee with girls , their stock has taken a huge hit . good . keep boycotting target . URL <end>",rumor
693857551620968448,keeping vanessa hudgens in our thoughts . her dad greg died last night from cancer : URL URL <end>,non-rumor
544512108885725184,paramedics are currently carrying out a number of hostages in #martinpl . #sydneysiege #9news <end>,rumor
553587013409325058,#breaking charlie hebdo gunmen's hostage freed and safe after police assault <end>,rumor
638050997340893184,"in celebrity death hoax news , james earl jones is not dead . URL URL <end>",rumor
692874200927698945,report : las vegas sands to propose $ 1 billion domed stadium to possibly draw nfl franchise - fox 5 las vegas URL <end>,non-rumor
626546123713474560,this is how people in china are riding escalators after a horrific accident URL URL <end>,rumor
691719802499432448,and jake makes that one more for team kal-el ... let us know which side you're on with ' #empirebvs ' . URL <end>,non-rumor
693466724822323200,audio recordings reveal cpr started 11 minutes after staff found gynnya mcmillen URL URL <end>,non-rumor
749039299677417472,"after the orlando shooting this is how they protest , and the shooter was a registered democrat ... URL <end>",rumor
707420972173955072,obama skipping nancy reagan's funeral to attend sxsw URL URL <end>,rumor
724044187113512960,niagara falls turned purple on the day prince died : URL URL <end>,rumor
724603564946010112,twenty-five stories proving target ’ s pro-trans bathroom policy is dangerous URL <end>,rumor
715264793737879553,donald trump supports abortion ban and ' punishment ' for women URL <end>,rumor
663385747177775105,"steve jobs was adopted . his biological father was abdulfattah jandali , a syrian muslim . <end>",rumor
728101712762834944,caitlyn jenner about to post nude for cover of sports illustrated ... 😳 <end>,rumor
767861179951648768,. @realdonaldtrump slams @hillaryclinton : “ the job of an elected official is to serve the citizens of the u . s . ” URL <end>,non-rumor
642145732435292160,poll : @hillaryclinton ' s lead over @berniesanders shrinks as her edge over gop vanishes URL URL <end>,rumor
663925546812837888,"solo cups have been red for decades . if starbucks was taking a shot at christmas , solo shot first . <end>",rumor
544352727971954690,"local media : 3 people appear to escape from martin place , sydney , café , amid hostage situation - @abcnews URL <end>",rumor
651959206287908868,"donald trump's capture , dead or alive , is reportedly worth $ 100 million to el chapo . URL URL <end>",rumor
552802654641225728,charlie hebdo shooting latest : 12 dead and gunmen still at large URL URL <end>,rumor
640182854928961536,plastic bag use in wales has dropped by 71 per cent since the 5p charge was introduced URL URL <end>,rumor
652349108653551616,surprising number of vegetarians secretly eat meat URL URL <end>,rumor
693858804279201794,"poor women in india are fighting for the right to have a job . "" when you start working , your heart opens up . "" URL <end>",non-rumor
544289409294553088,full statement from pm abbott on #sydneysiege #martinplace #lindt . URL <end>,rumor
765359928361922560, people do not smile during a seizure while standing upright and then immediately launch into a coherent sentence .  URL <end>,non-rumor
743058135300988932,"so now we know , orlando shooter was a gay , muslim , registered democrat . no wonder liberals are trying to blame the gun . #orlandoshooting <end>",rumor
758825535480864769,hillary clinton is lying . clinton is not first woman nominated for president . it was victoria woodhull in 1872 . to … URL <end>,rumor
723365789378584578,"landmarks around world turn purple , in honor of #prince . #princerip #purplerain URL <end>",rumor
616765822095261700,a crow tries to fight an eagle — gets a free ride instead : URL <end>,rumor
778689027918618625,"black men may have cause to run from police , massachusetts high court says URL <end>",rumor
525056576038518785,soldier killed in canada shooting was a young reservist with a six-year-old son URL URL <end>,rumor
525028734991343617,ctv news confirms that canadian authorities have provided us authorities with the name michael zehaf-bibeau in connection to ottawa shooting <end>,rumor
760928376668454912,"before hillary clinton , there was victoria woodhull , a pro-life feminist who ran and was nominated for president . URL <end>",rumor
656848877463560192,i ’ m celebrating #backtothefuture day by bemoaning the lack of hoverboards while ignoring the fact that my phone contains all human knowledge <end>,non-rumor
656880145769197568,10 ' back to the future ' predictions that came true URL URL <end>,rumor
553508098825261056,police have surrounded this building where the suspected #charliehebdo attackers are holed-up URL URL <end>,rumor
623818627054206977,nasa confirms earth will experience 15 days of complete darkness in november 2015 URL <end>,rumor
765735409984806912,"trump : dems "" failed and betrayed the africanamerican community ” trump : “ laziness is a trait in blacks , it really is "" URL <end>",rumor
778949749156245504, a black man who runs from police merely might be trying to avoid the recurring indignity of being profiled  URL <end>,rumor
544391533240516608,five hostages have escaped the besieged lindt cafe in #sydney | our latest update : URL URL <end>,rumor
544511199702822913,police move in : police confirm live ammunition used in martin place #sydneysiege <end>,rumor
675043569367982081,‘ el chapo ’ threatens #isis : ‘ my men will destroy you ’ - URL URL <end>,rumor
732981604826677249,target says boycott over transgender bathroom policy isn't hurting sales URL <end>,rumor
656834590779289600,10 ' back to the future ' predictions that came true URL URL <end>,rumor
662430295254175744,#opkkk releases 500 + names and reveals unexpected #plottwist URL URL <end>,rumor
650975967146602496,uk • you're right to be nervous about the 5p plastic bag charge . when they implemented this in california the streets ran red with blood . <end>,rumor
650128194209730561,an openly gay man said that he and his partner met with pope francis a day before kim davis did URL <end>,rumor
724624672604610562,people are over here boycotting @target over their new transgender bathroom policy and i'm just like URL <end>,rumor
672632899921833984,why have there been more mass shootings under obama than the 4 previous presidents combined ? URL URL <end>,rumor
693528374996652032,". @realbencarson : "" what good does it do a man to gain the whole world & to lose his soul ? "" URL <end>",non-rumor
765859710503378944,"top north korean diplomat who disappeared from london embassy has defected to south korea , seoul confirms URL <end>",non-rumor
755548076438196225,"colombus , ohio police officer served sandwich with shards of glass . URL <end>",rumor
686657138270277634,photos of the day URL URL <end>,non-rumor
644229386149888001,"greek customs captured containers of weapons and ammunition going to refugee camps in europe as "" plastic furniture "" URL <end>",rumor
716092408920936448,international criminal george soros & his boi @davidbrockdc are sooo busted #fauxprotests #ringers @realdonaldtrump URL <end>,rumor
745236050407194624,the big one : ' large scale motion ' detected along san andreas fault URL URL <end>,rumor
524925050739490816,breaking news : soldier shot at national war memorial in ottawa URL <end>,rumor
544301453717041152,breaking update : gunman says four devices are located around sydney . security response underway . police calling for calm . 9news <end>,rumor
763896522790440960,layton police officer hospitalized after subway worker serves him meth and thc in his drink ( video ) URL <end>,rumor
614615157730357248,"watch live : as sun goes down , white house lights up rainbow colors to celebrate scotus ruling URL URL <end>",rumor
674229534888185856,who said it : donald trump or adolf hitler ? URL URL <end>,rumor
661251968078221312,anonymous #opkkk the hoods come off begins with united states senators & mayors URL #hoodsoff URL <end>,rumor
552805488631758849,"at least 12 killed in today's attack on satirical magazine #charliehebdo in paris , official says . URL <end>",rumor
763430916236640256,hillary surroagte bob beckel calls for assassination of julian assange URL <end>,rumor
544504183341064192,"escaped #sydneysiege hostage , elly chen , a top student and skilled sportswoman URL URL <end>",rumor
692082861525078017,tony the tiger has no more cummies left to give URL URL <end>,non-rumor
628681462976528384,"whole foods called out for selling $ 6 "" asparagus water , "" water with stalks of asparagus in it URL URL <end>",rumor
766541461189832704,"a boy dies after being bitten by a dog in essex , with a woman arrested for allowing a dog to be out of control URL <end>",non-rumor
676955015265837056,"jeb bush : "" donald , you're not going to be able to insult your way to the presidency . "" cheer from the audience #nprdebate <end>",non-rumor
666633171325353989,"the myth of zouheir , a "" hero muslim security guard "" in paris URL ( via @bbctrending ) URL <end>",rumor
780436430732525569,"well , this is a new one : chelsea clinton implies that marijuana can kill you . 2016 , y ’ all . URL #mmot #p2 #tcot #tlot <end>",rumor
687748306571804672,harry potter fans are posting incredibly moving tributes to severus snape and alan rickman : URL URL <end>,non-rumor
544517264054423552,#breaking : police have confirmed that the #sydneysiege is over . #9news <end>,rumor
524932935137628160,the gunman in ottawa has been shot and killed . i'm at a loss for words this morning . that isn't my canada . <end>,rumor
692078399012130816,woman a leading authority on what shouldn ’ t be in poor people ’ s grocery carts URL URL <end>,non-rumor
553512735192141826,update - afp : an unnamed police source says the killing of the policewoman in #paris on thursday is linked to the #charliehebdo attack <end>,rumor
651018580989972480,pope francis expected to fire the archbishop who tricked him into meeting kim davis URL <end>,rumor
742012307694223361,#orlando oh look the muslim shooter was also a democrat ! URL <end>,rumor
662381914842603520,"rt @operation_kkk : official #opkkk #hoodsoff 2015 data release URL with love , anonymous . URL <end>",rumor
614594195479752704,white house lit in rainbow colors after today's historic supreme court ruling #scotusmarriage URL <end>,rumor
674244561519161344," you're increasingly compared to hitler . does that bother you ?  trump : "" no . "" URL <end>",rumor
672433211604013057,reagan ( 11 mass shootings ) bush sr ( 12 mass shootings ) clinton ( 23 mass shootings ) bush jr ( 16 mass shootings ) obama ( 162 mass shootings ) <end>,rumor
553586860334010368,#charliehebdo killers shot dead by police <end>,rumor
778572032531427332,massachusetts court finds that it ’ s ‘ reasonable ’ for black men to run from police to avoid racial profiling … URL <end>,rumor
626770498328895488,translucent butterfly - beautiful ! ' URL <end>,rumor
525025279803424768,the soldier shot dead in wednesday's ottawa attacks has been named as cpl . nathan cirillo of #hamont #ottawashooting URL <end>,rumor
714555825122107392,an open letter to trump voters from his top strategist-turned-defector URL @juddapatow @andylassner @bettemidler <end>,rumor
660466342038867969,calling #anonymous collective to fire at all #kkk & affiliated sources on nov 16 . URL #opkkk #hoodsoff retweet / share <end>,rumor
632377165477191680,trayvon martin at space camp in florida . #blacklivesmatter URL <end>,rumor
724320681517670400,"340,000 pledge to boycott target over transgender bathroom policy URL URL <end>",rumor
544513524438155264,"sydney siege : police enter cafe as hostages flee the scene , gunfire heard , reports of an injured person – live URL <end>",rumor
656955120626880512,correct predictions in back to the future ii URL <end>,rumor
654336219447472128,"beat the 5p bag charge by #winning 1 of 5 cute lambrini shopping bags - rt & follow to enter ! 18 + , t & cs apply URL <end>",rumor
722885778448121857,"a new transgender bathroom policy at @target is real , and it's fabulous : URL URL <end>",rumor
778681502825451520,black men have legitimate reason to run from police – #massachusetts supreme court URL URL <end>,rumor
656523458139045889,is your drug dealer charging you more because of the 5p bag charge ? let us know ! ring 101 now URL <end>,rumor
716416753409081344,"hearing that bernie sanders flipped clark county in nevada at state convention , may have won the entire state #feelthebern <end>",rumor
766715993385267201,russian olympic officials concerned after learning team ’ s clean urine reservoir almost empty URL URL <end>,non-rumor
663817239896821760,for everyone who thinks starbucks red cups are ruining christmas URL URL <end>,rumor
693869818366287872,"vanessa hudgens ' father , gregory hudgens , dies the night before "" grease : live "" URL URL <end>",non-rumor
767814876433571840,"rudy giuliani rips @hillaryclinton for dragging colin powell into email scandal : "" she lies every day . "" URL <end>",non-rumor
751536167183613952,#urgent so-called ' purge ' planned tonight in baton rouge 1200am - 0500am . #bluelivesmatter - heres the flash > > URL <end>,rumor
524925987239120897,soldier shot at national war memorial in ottawa URL #cdnpoli #hw <end>,rumor
751856580874960897,"should say "" labor unions aligned with @hillaryclinton "" stopped dems from saying no tpp-they don't speak for nurses URL <end>",rumor
552834961762709505,paris manhunt : 3 #charliehebdo attackers with ak - 47 rifles & reportedly rocket-propelled grenade still at large URL <end>,rumor
656870311057575936,the 5 most accurate predictions from the decade-jumping adventures in #backtothefuture : URL URL <end>,rumor
636925368927064064,actor james earl jones is not dead : URL URL <end>,rumor
655432919595548672,thousands of people in china claim they have seen a ' floating city ' in the sky URL <end>,rumor
642432477185867776,the stickers on fruit are edible . <end>,rumor
524922729485848576,only photo i will tweet . cpr being performed on the soldier now . i heard four shots . #ottawa URL <end>,rumor
614608936491188225,white house lit in rainbow colors after gay marriage ruling URL URL <end>,rumor
674187250792558592,donald trump v adolf hitler URL <end>,rumor
674314254732931072,". @presssec : @realdonaldtrump comment "" disqualifies "" him from presidency URL via @talkopan URL <end>",rumor
764906140257837056, my dad is in the air force and that inspired me to have my back up job be president  — lily : URL URL <end>,non-rumor
622858454949040128,in heaven chick-fil-a is open on sundays . <end>,rumor
676870737932742656,plumber suing car dealership for $ 1m after truck he traded in ends up in hands of isis : URL URL <end>,rumor
762793077509464064," if you could compete in any olympic event , what would you choose ?  — @potus asks @flotus : URL URL <end>",non-rumor
692748411481780224,"man held at disneyland paris carrying "" low-calibre "" guns & copy of koran - police sources URL URL <end>",non-rumor
692702295281262593,the @who predicts 3 to 4 million cases of #zikavirus that is spreading through americas URL <end>,non-rumor
764931593303646208,"fox news host claims hillary clinton had seizure on camera , has ' secret ' health issues URL URL <end>",rumor
681824512120324096,"when she heard about south korean "" comfort women , "" @yunghi photographed some survivors URL URL <end>",non-rumor
658259426172891136,4 legged chickens : fda confiscates several thousand chickens from kfc farms as mutations worsen URL <end>,rumor
693534670428971008,"up to 100 masked men , dressed in black , involved in "" migrant attack "" in stockholm URL URL <end>",non-rumor
742050150307246080,shooter in orlando was : a . muslim b . registered democrat voter c . isis d . homophobic e . ready for hillary URL <end>,rumor
544512664769396736,"breaking : police enter #lindt cafe , hostages flee URL #sydneysiege URL <end>",rumor
613425834301485056,police bought #dylannroof food from @burgerking after he was arrested for church shooting : URL URL <end>,rumor
690580180805509121,justin trudeau : i will raise my sons as feminists URL URL <end>,non-rumor
651786568592658433,one third of vegetarians eat meat when they get drunk | URL URL <end>,rumor
778299287293816832,will ny ag investigate clinton campaign credit card fraud re elderly donors ? URL URL <end>,rumor
656825206045020160,"#backtothefuture fans , it's october 21 , 2015 — the future is finally here ! URL URL <end>",rumor
616311563071434753,apologies if you've already seen a crow riding a bald eagle today . image : phoo chan story : URL URL <end>,rumor
